安阳	恒大绿洲	5805	元/平米	<strong>5805</strong> 元/平米		
安庆	恒大绿洲	7980	元/平米	<strong>7980</strong> 元/平米		
北京	恒大山水城	16941	元/平米	<strong>16941</strong> 元/平米		
北京	恒大领寓	46607	元/平米	<strong>46607</strong> 元/平米		
北京	恒大御景湾	30438	元/平米	<strong>30438</strong> 元/平米		
北京	恒大城(顺沙路)	21631	元/平米	<strong>21631</strong> 元/平米		
北京	恒大未来城	60412	元/平米	<strong>60412</strong> 元/平米		
北京	恒大华府(东坝路)	112915	元/平米	<strong>112915</strong> 元/平米		
北京	恒大金碧天下	16623	元/平米	<strong>16623</strong> 元/平米		
北京	恒大丽宫(林荫路)	83086	元/平米	<strong>83086</strong> 元/平米		
北京	恒大华府	134368	元/平米	<strong>134368</strong> 元/平米		
北京	恒大书院(红军营东路15号)	91557	元/平米	<strong>91557</strong> 元/平米		
北京	信恒大厦	93837	元/平米	<strong>93837</strong> 元/平米		
包头	恒大华府	7300	元/平米	<strong>7300</strong> 元/平米		
包头	恒大名都	6860	元/平米	<strong>6860</strong> 元/平米		
包头	恒大帝景	8134	元/平米	<strong>8134</strong> 元/平米		
包头	九原区恒大华府	7482	元/平米	<strong>7482</strong> 元/平米		
蚌埠	恒大御景湾	8516	元/平米	<strong>8516</strong> 元/平米		
蚌埠	恒大御景湾	8718	元/平米	<strong>8718</strong> 元/平米		
蚌埠	恒大翡翠华庭(东海大道)	暂无均价	暂无均价	暂无均价		
北海	恒大御景半岛(金海岸大道88号)	7917	元/平米	<strong>7917</strong> 元/平米		
北海	恒大名都(上海路88号)	7829	元/平米	<strong>7829</strong> 元/平米		
亳州	恒大城	5963	元/平米	<strong>5963</strong> 元/平米		
成都	恒大金碧天下	8807	元/平米	<strong>8807</strong> 元/平米		
成都	恒大绿洲	11178	元/平米	<strong>11178</strong> 元/平米		
成都	恒大帝景	5808	元/平米	<strong>5808</strong> 元/平米		
成都	恒大新城	7855	元/平米	<strong>7855</strong> 元/平米		
成都	恒大名都	13354	元/平米	<strong>13354</strong> 元/平米		
成都	恒大御景半岛	6832	元/平米	<strong>6832</strong> 元/平米		
